run_id,input_file,time_limit,algorithm,task,RTA_WCRT_raw,RTA_WCRT_ceil,max_observed_rt,deadline_misses
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T15,1437.00,1437,1437,0
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T16,1606.00,1606,1606,0
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T17,1885.00,1885,1885,0
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T18,2181.00,2181,2181,0
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T19,2539.00,2539,2539,0
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T20,2950.00,2950,2950,0
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T21,3424.00,3424,3424,0
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T22,3613.00,3613,3613,0
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T23,3683.00,3683,3683,0
2026-03-08 12:58:38,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_1.csv,200000,EDF,T24,4085.00,4085,4085,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T0,64.00,64,64,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T1,108.00,108,108,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T2,166.00,166,166,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T3,228.00,228,228,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T4,333.00,333,333,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T5,334.00,334,334,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T6,447.00,447,447,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T7,560.00,560,560,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T8,633.00,633,633,0
